,NetDemand,wM,Posan,Dow,Trend,NetDemand.48,Holy,Year
0,38353,6.04636399674296,0.0013699412066898,5,1293879600,38353,1,2011
1,41192,2.80396925325263,0.0041098236200696,6,1293966000,38353,0,2011
2,43442,2.09725880385058,0.0068497060334494,0,1294052400,41192,0,2011
3,50736,3.44418695770189,0.0095895884468291,1,1294138800,43442,0,2011
4,50438,5.95867399730654,0.0123294708602089,2,1294225200,50736,0,2011
5,50064,4.1242479850864,0.0150693532735887,3,1294311600,50438,0,2011
6,51698,3.0834230446394,0.0178092356869684,4,1294398000,50064,0,2011
7,43988,7.07881587319528,0.0205491181003482,5,1294484400,51698,0,2011
8,43340,4.89111938359388,0.023289000513728,6,1294570800,43988,0,2011
9,50645,6.32604548861295,0.0260288829271077,0,1294657200,43340,0,2011
10,49455,7.05326882893958,0.0287687653404875,1,1294743600,50645,0,2011
11,50310,9.91202725136726,0.0315086477538672,2,1294830000,49455,0,2011
12,47389,12.5219209387924,0.034248530167247,3,1294916400,50310,0,2011
13,46980,11.1841452761723,0.0369884125806267,4,1295002800,47389,0,2011
14,42818,11.2316035924025,0.0397282949940065,5,1295089200,46980,0,2011
15,41866,12.2065304641267,0.0424681774073863,6,1295175600,42818,0,2011
16,48105,7.42428148616766,0.045208059820766,0,1295262000,41866,0,2011
17,47714,5.95636992694129,0.0479479422341458,1,1295348400,48105,0,2011
18,48752,4.90819778877994,0.0506878246475255,2,1295434800,47714,0,2011
19,50110,2.96299121875573,0.0534277070609053,3,1295521200,48752,0,2011
20,50054,1.28873827067956,0.0561675894742851,4,1295607600,50110,0,2011
21,45799,3.4855991904426,0.0589074718876648,5,1295694000,50054,0,2011
22,44185,6.08607672641142,0.0616473543010446,6,1295780400,45799,0,2011
23,49792,6.78658808064853,0.0643872367144243,0,1295866800,44185,0,2011
24,49578,7.62862540878309,0.0671271191278041,1,1295953200,49792,0,2011
25,48820,6.00281271136585,0.0698670015411839,2,1296039600,49578,0,2011
26,51130,2.67906897270795,0.0726068839545636,3,1296126000,48820,0,2011
27,50771,1.4225987090595,0.0753467663679434,4,1296212400,51130,0,2011
28,46389,0.968155035148118,0.0780866487813231,5,1296298800,50771,0,2011
29,44845,3.62833799270004,0.0808265311947029,6,1296385200,46389,0,2011
30,51282,2.91358234885173,0.0835664136080827,0,1296471600,44845,0,2011
31,50086,6.11612426544693,0.0863062960214624,1,1296558000,51282,0,2011
32,49950,7.41779218941161,0.0890461784348422,2,1296644400,50086,0,2011
33,48395,6.83064712948436,0.0917860608482219,3,1296730800,49950,0,2011
34,48468,11.2623119569056,0.0945259432616017,4,1296817200,48395,0,2011
35,42501,11.470805145818,0.0972658256749814,5,1296903600,48468,0,2011
36,41362,11.3693364745315,0.100005708088361,6,1296990000,42501,0,2011
37,47985,9.5240940391694,0.102745590501741,0,1297076400,41362,0,2011
38,46387,7.05012740284326,0.105485472915121,1,1297162800,47985,0,2011
39,47372,9.09651110820997,0.1082253553285,2,1297249200,46387,0,2011
40,47246,9.08459310724252,0.11096523774188,3,1297335600,47372,0,2011
41,46590,9.44366391254584,0.11370512015526,4,1297422000,47246,0,2011
42,40127,8.85309951474829,0.11644500256864,5,1297508400,46590,0,2011
43,42154,7.98751243547253,0.11918488498202,6,1297594800,40127,0,2011
44,46741,7.26721670333824,0.121924767395399,0,1297681200,42154,0,2011
45,48994,6.27424332912397,0.124664649808779,1,1297767600,46741,0,2011
46,46966,8.19263886656863,0.127404532222159,2,1297854000,48994,0,2011
47,47186,6.27853052643945,0.130144414635539,3,1297940400,46966,0,2011
48,47890,6.01370783405993,0.132884297048918,4,1298026800,47186,0,2011
49,44263,4.46279334596055,0.135624179462298,5,1298113200,47890,0,2011
50,42856,5.06462685962098,0.138364061875678,6,1298199600,44263,0,2011
51,50163,4.96231397680603,0.141103944289058,0,1298286000,42856,0,2011
52,48055,5.96430153340531,0.143843826702437,1,1298372400,50163,0,2011
53,48285,8.82284028546453,0.146583709115817,2,1298458800,48055,0,2011
54,44930,11.1961972766583,0.149323591529197,3,1298545200,48285,0,2011
55,45147,12.9501802921673,0.152063473942577,4,1298631600,44930,0,2011
