"NetDemand","wM","wM_s95","Posan","Dow","Trend","NetDemand.48","Holy","Year","Date","Time"
38353,6.04636399674296,5.558800478596,0.00136994120668988,6,0,0.340662901583187,2,2011,2011-01-01,"12:00:00"
41192,2.80396925325263,3.23058169044231,0.00410982362006964,7,0.000498266447983059,0.340662901583187,1,2011,2011-01-02,"12:00:00"
43442,2.09725880385058,1.8581982068316,0.0068497060334494,1,0.000996532895966118,0.472085917970558,1,2011,2011-01-03,"12:00:00"
50736,3.44418695770189,2.3104079864319,0.00958958844682916,2,0.00149479934394918,0.576242940468475,1,2011,2011-01-04,"12:00:00"
50438,5.95867399730654,4.72496115081652,0.0123294708602089,3,0.00199306579193224,0.913896861401722,1,2011,2011-01-05,"12:00:00"
50064,4.1242479850864,4.58946964488288,0.0150693532735887,4,0.00249133223991529,0.900101842421998,1,2011,2011-01-06,"12:00:00"
51698,3.0834230446394,2.44737487379819,0.0178092356869684,5,0.00298959868789835,0.882788630682344,1,2011,2011-01-07,"12:00:00"
43988,7.07881587319528,7.24698369270298,0.0205491181003482,6,0.00348786513588141,0.958429775020831,1,2011,2011-01-08,"12:00:00"
43340,4.89111938359388,3.53064283616664,0.023289000513728,7,0.00398613158386447,0.60151837792797,1,2011,2011-01-09,"12:00:00"
50645,6.32604548861295,3.47158436442737,0.0260288829271077,1,0.00448439803184753,0.57152115544857,1,2011,2011-01-10,"12:00:00"
49455,7.05326882893958,5.82354672269873,0.0287687653404875,2,0.00498266447983059,0.909684288491806,1,2011,2011-01-11,"12:00:00"
50310,9.91202725136726,6.00807989482729,0.0315086477538672,3,0.00548093092781365,0.854596796592908,1,2011,2011-01-12,"12:00:00"
47389,12.5219209387924,10.8851690665207,0.034248530167247,4,0.00597919737579671,0.894176465142116,1,2011,2011-01-13,"12:00:00"
46980,11.1841452761723,11.1181310070233,0.0369884125806267,5,0.00647746382377977,0.758957503934821,1,2011,2011-01-14,"12:00:00"
42818,11.2316035924025,9.68112373430785,0.0397282949940065,6,0.00697573027176283,0.740024071845199,1,2011,2011-01-15,"12:00:00"
41866,12.2065304641267,11.0701321189855,0.0424681774073863,7,0.00747399671974588,0.547356726229053,1,2011,2011-01-16,"12:00:00"
48105,7.42428148616766,8.37487756187772,0.045208059820766,1,0.00797226316772894,0.503286732709934,1,2011,2011-01-17,"12:00:00"
47714,5.95636992694129,5.23285376438275,0.0479479422341458,2,0.008470529615712,0.792102583094158,1,2011,2011-01-18,"12:00:00"
48752,4.90819778877994,2.90504627316683,0.0506878246475255,3,0.00896879606369506,0.77400240718452,1,2011,2011-01-19,"12:00:00"
50110,2.96299121875573,2.78414770773697,0.0534277070609053,4,0.00946706251167812,0.822053513563559,1,2011,2011-01-20,"12:00:00"
